date,tweets,news,tic
2016-01-15,-0.017507113,-0.120930564,ASIANPAINT.BO
2016-01-15,0.051292001,0.013992017,AXISBANK.BO
2016-01-15,0,0.042818811,BAJAJ-AUTO.BO
2016-01-15,0.176450867,-0.013976209,BAJFINANCE.BO
2016-01-15,0,-0.048314477,BAJAJFINSV.BO
2016-01-15,0,0.060587241,BHARTIARTL.BO
2016-01-15,-0.069354459,0,DRREDDY.BO
2016-01-15,0.001843207,0.089225897,HCLTECH.BO
2016-01-15,0.073649351,0.015222103,HDFC.BO
2016-01-15,0.130702409,-0.024545909,HDFCBANK.BO
2016-01-15,0.01337509,0.086477976,HINDUNILVR.BO
2016-01-15,0.08858258,-0.017760888,ICICIBANK.BO
2016-01-15,0.18703103,0.086603478,INDUSINDBK.BO
2016-01-15,0.069687049,0.012253817,INFY.BO
2016-01-15,-0.014646235,0.012787887,ITC.BO
2016-01-15,-0.263051266,0.19195355,KOTAKBANK.BO
2016-01-15,-0.21063014,-0.240667736,LT.BO
2016-01-15,0.09836038,-0.044923312,M&M.BO
2016-01-15,0.182871327,-0.03404073,MARUTI.BO
2016-01-15,0.226253582,0.034292874,NESTLEIND.BO
2016-01-15,-0.155334042,-0.120562226,NTPC.BO
2016-01-15,0.120475537,0,ONGC.BO
2016-01-15,0,0.257558977,POWERGRID.BO
2016-01-15,0.170941091,0.01918523,RELIANCE.BO
2016-01-15,0.015682471,-0.015666952,SBIN.BO
2016-01-15,-0.039685686,0.143572661,SUNPHARMA.BO
2016-01-15,0.167186761,0.108253806,TCS.BO
2016-01-15,0.016195041,-0.024909756,TECHM.BO
2016-01-15,0.162772528,0.070633772,TITAN.BO
2016-01-15,0,0.52665685,ULTRACEMCO.BO
2016-01-16,-0.198311337,-0.078955209,ASIANPAINT.BO
2016-01-16,-0.012900582,0.104664312,AXISBANK.BO
2016-01-16,0,0.048606203,BAJAJ-AUTO.BO
2016-01-16,0,0.104693088,BAJFINANCE.BO
2016-01-16,0,0,BAJAJFINSV.BO
2016-01-16,0,-0.048754637,BHARTIARTL.BO
2016-01-16,0,0,DRREDDY.BO
2016-01-16,-0.138473883,0,HCLTECH.BO
2016-01-16,0.163772627,0.018233915,HDFC.BO
2016-01-16,0.138493576,-0.040504467,HDFCBANK.BO
2016-01-16,-0.168899176,-0.089749697,HINDUNILVR.BO
2016-01-16,0.117200786,0.039140058,ICICIBANK.BO
2016-01-16,0,0,INDUSINDBK.BO
2016-01-16,0.199056343,0.153364338,INFY.BO
2016-01-16,0.086071332,0.210189029,ITC.BO
2016-01-16,0,0.09262335,KOTAKBANK.BO
2016-01-16,0,0.044738034,LT.BO
2016-01-16,0.047480353,0.167539413,M&M.BO
2016-01-16,0.110641226,0.144724009,MARUTI.BO
2016-01-16,0.205074871,-0.180294534,NESTLEIND.BO
2016-01-16,0.163033909,-0.46335904,NTPC.BO
2016-01-16,0.045485475,0,ONGC.BO
2016-01-16,0.008354058,0,POWERGRID.BO
2016-01-16,0,0.048268239,RELIANCE.BO
2016-01-16,-0.011499002,0.052881042,SBIN.BO
2016-01-16,0.386918493,0.037547807,SUNPHARMA.BO
2016-01-16,0,-0.005970755,TCS.BO
2016-01-16,0.039938498,0.241846932,TECHM.BO
2016-01-16,0,0.13719863,TITAN.BO
2016-01-16,0,0,ULTRACEMCO.BO
2016-01-17,0,0.065928948,ASIANPAINT.BO
2016-01-17,0.031913756,0.062361904,AXISBANK.BO
2016-01-17,0,0.087248119,BAJAJ-AUTO.BO
2016-01-17,0,0.025107758,BAJFINANCE.BO
2016-01-17,0,0.070343771,BAJAJFINSV.BO
2016-01-17,0,0.019556747,BHARTIARTL.BO
2016-01-17,0,0,DRREDDY.BO
2016-01-17,0.108909705,0,HCLTECH.BO
2016-01-17,0.133221463,-0.070674613,HDFC.BO
2016-01-17,0.177558301,-0.008125528,HDFCBANK.BO
2016-01-17,0,0,HINDUNILVR.BO
2016-01-17,-0.182012744,0.034547088,ICICIBANK.BO
2016-01-17,0,0,INDUSINDBK.BO
2016-01-17,0.179284442,-0.203520282,INFY.BO
2016-01-17,0.09752274,-0.188051108,ITC.BO
2016-01-17,0,-0.051843191,KOTAKBANK.BO
2016-01-17,0,0.14515216,LT.BO
2016-01-17,0.140804863,-0.158127586,M&M.BO
2016-01-17,0.155061898,0.059182287,MARUTI.BO
2016-01-17,0.171434159,-0.386918493,NESTLEIND.BO
2016-01-17,0.039520985,-0.08807183,NTPC.BO
2016-01-17,0.081936202,0,ONGC.BO
2016-01-17,0.126112095,0.007867877,POWERGRID.BO
2016-01-17,0.172175144,-0.033902294,RELIANCE.BO
2016-01-17,0.111991044,0.100482587,SBIN.BO
